序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1727,836504,博迅生物,22.79,1.74,0.39,2547.0,5759019.24,4.64,23.23,22.19,22.7,22.4,0.6,1.49,199.16,5.07,987561349.0,389656651.0,0.0,0.35,17.47,28.83
1728,688663,新风光,24.59,1.74,0.42,9706.0,23772454.0,2.94,24.72,24.01,24.16,24.17,1.32,0.69,19.74,2.49,3441370500.0,3441370500.0,-0.08,0.04,7.99,13.27
1729,000011,深物业A,8.2,1.74,0.14,26855.0,21923108.0,2.23,8.24,8.06,8.08,8.06,1.17,0.51,244.07,1.45,4887028554.0,4317099453.0,0.0,0.0,1.23,-6.18
1730,300447,全信股份,12.88,1.74,0.22,21020.0,26932940.0,3.08,12.94,12.55,12.66,12.66,0.82,1.04,71.64,2.01,4022557630.0,2593148303.0,-0.16,0.0,1.34,-9.1
1731,600560,金自天正,14.73,1.73,0.25,18413.0,27042261.0,2.83,14.81,14.4,14.47,14.48,0.94,0.82,111.07,3.46,3294298215.0,3294298215.0,-0.07,0.07,-6.89,0.61
1732,301328,维峰电子,37.69,1.73,0.64,9679.0,36481093.0,2.27,37.95,37.11,37.3,37.05,1.07,2.84,40.69,2.14,4141889558.0,1286504467.0,-0.03,0.13,-15.28,-10.84
1733,834950,迅安科技,21.21,1.73,0.36,2045.0,4327930.88,3.74,21.39,20.61,20.65,20.85,0.35,0.66,21.82,4.27,1295931000.0,654858750.0,0.05,0.05,22.96,35.61
1734,300717,华信新材,15.92,1.73,0.27,17449.0,27632886.4,2.68,15.95,15.53,15.73,15.65,1.49,1.71,25.74,2.27,1636178000.0,1621506128.0,-0.06,-0.13,9.42,14.29
1735,003025,思进智能,16.45,1.73,0.28,31594.0,51700410.6,3.77,16.55,15.94,16.17,16.17,1.32,1.59,24.25,3.2,3892530024.0,3269421478.0,0.0,0.06,10.85,16.75
1736,688623,双元科技,57.64,1.73,0.98,2546.0,14534413.0,2.19,57.68,56.44,56.56,56.66,1.58,1.36,33.65,1.58,3408985228.0,1075911468.0,0.3,0.3,13.64,5.3
1737,002719,麦趣尔,7.64,1.73,0.13,116127.0,88470564.4,2.66,7.73,7.53,7.6,7.51,0.52,7.17,473.44,5.89,1330425451.0,1236704334.0,0.13,0.13,5.23,-2.43
1738,002835,同为股份,17.08,1.73,0.29,16884.0,28725441.45,2.92,17.14,16.65,16.72,16.79,0.86,1.33,18.0,3.03,3748956341.0,2174069629.0,-0.12,0.06,-10.29,-11.04
1739,300324,旋极信息,3.52,1.73,0.06,320497.0,112228952.98,4.05,3.54,3.4,3.46,3.46,1.02,1.87,-25.71,2.12,6081118894.0,6018731921.0,0.28,0.28,10.34,6.34
1740,000898,鞍钢股份,2.35,1.73,0.04,324258.0,76000206.74,3.46,2.38,2.3,2.3,2.31,2.04,0.41,-3.09,0.46,22017669956.0,18699414532.0,0.43,0.43,2.62,-2.08
1741,600744,华银电力,4.74,1.72,0.08,3479119.0,1682260436.0,8.8,5.08,4.67,4.88,4.66,12.01,17.13,31.81,8.43,9627529059.0,9627529059.0,0.21,0.0,60.14,52.41
1742,600576,祥源文旅,10.03,1.72,0.17,69976.0,69570503.0,4.56,10.1,9.65,9.81,9.86,1.02,1.06,84.77,3.72,10577120853.0,6623712532.0,-0.3,-0.3,28.26,45.57
1743,688391,钜泉科技,27.26,1.72,0.46,4381.0,11851383.0,2.99,27.32,26.52,26.8,26.8,1.0,0.77,87.37,1.66,3123611634.0,1547111423.0,-0.22,0.15,-7.62,-10.18
1744,688669,聚石化学,15.95,1.72,0.27,13333.0,21406853.0,5.36,16.29,15.45,15.5,15.68,2.32,1.1,57.83,1.47,1935266677.0,1935266677.0,0.0,0.0,6.55,3.3
1745,600769,祥龙电业,10.04,1.72,0.17,31071.0,31014434.0,3.24,10.08,9.76,9.84,9.87,0.8,0.83,207.43,35.02,3764771088.0,3764771088.0,0.0,-0.1,8.19,4.47
1746,300384,三联虹普,17.14,1.72,0.29,31012.0,53014635.98,2.73,17.23,16.77,16.84,16.85,0.77,1.41,17.02,2.04,5467784522.0,3770803685.0,0.06,0.0,-6.54,-7.95
1747,833509,同惠电子,24.2,1.72,0.41,22692.0,54566253.51,4.71,24.63,23.51,23.8,23.79,0.56,2.75,98.66,11.18,3916907843.0,1995250748.0,0.08,0.12,71.27,69.94
1748,688551,科威尔,26.04,1.72,0.44,4874.0,12650131.0,3.16,26.34,25.53,25.78,25.6,1.65,0.58,26.84,1.67,2189201262.0,2189201262.0,-0.08,-0.04,-8.31,-6.97
1749,688350,富淼科技,14.77,1.72,0.25,6971.0,10254220.0,3.1,14.95,14.5,14.53,14.52,1.01,0.57,83.2,1.35,1804156962.0,1804156962.0,0.0,0.14,1.16,17.04
1750,301395,仁信新材,12.4,1.72,0.21,12365.0,15331303.84,2.79,12.5,12.16,12.16,12.19,0.84,1.13,29.1,1.61,2515811200.0,1356488700.0,0.08,0.08,10.12,12.12
1751,300292,吴通控股,4.74,1.72,0.08,179625.0,85109049.0,2.36,4.77,4.66,4.7,4.66,0.96,1.61,45.3,4.5,6359965977.0,5289578414.0,0.0,-0.21,-10.23,-2.27
1752,300559,佳发教育,10.08,1.72,0.17,30063.0,30105417.0,3.63,10.13,9.77,9.83,9.91,1.02,0.97,-100.29,3.34,4027106835.0,3136259277.0,-0.1,-0.2,-14.72,-15.72
1753,688156,路德环境,15.34,1.72,0.26,22598.0,34199416.0,3.91,15.49,14.9,15.15,15.08,0.55,2.24,307.9,1.85,1544955168.0,1544955168.0,0.26,-0.07,19.66,13.38
1754,830879,基康仪器,18.93,1.72,0.32,9145.0,17218609.83,4.14,19.09,18.32,18.32,18.61,0.55,0.81,33.75,4.54,2640692900.0,2133931537.0,0.32,0.0,59.34,60.83
1755,688078,龙软科技,30.36,1.71,0.51,3772.0,11380067.0,2.71,30.41,29.6,29.61,29.85,1.08,0.52,61.51,2.94,2213031480.0,2213031480.0,0.16,0.26,15.48,15.83
1756,600084,中信尼雅,5.34,1.71,0.09,19766.0,10504722.0,4.0,5.37,5.16,5.25,5.25,1.28,0.18,360.73,4.64,6000701272.0,6000701272.0,0.19,-0.19,7.66,1.52
1757,600516,方大炭素,4.76,1.71,0.08,105560.0,50041967.0,2.56,4.77,4.65,4.68,4.68,1.62,0.26,103.02,1.19,19163618952.0,19163618952.0,-0.21,0.0,3.7,-1.45
1758,688615,合合信息,232.82,1.71,3.92,9581.0,223355028.0,5.67,236.98,224.0,227.23,228.9,1.4,4.79,58.13,8.76,23282000000.0,4656400000.0,0.14,0.22,-7.14,15.01
1759,002250,联化科技,6.54,1.71,0.11,244895.0,157509906.69,5.6,6.57,6.21,6.52,6.43,2.44,2.7,29.97,0.93,5960118585.0,5928733380.0,0.0,0.15,11.99,18.69
1760,000957,中通客车,11.33,1.71,0.19,140001.0,157560867.18,3.05,11.38,11.04,11.15,11.14,0.56,2.36,21.95,2.22,6717601595.0,6717601595.0,0.35,0.44,-1.39,3.28
1761,600640,国脉文化,11.27,1.71,0.19,42118.0,47286350.0,2.8,11.32,11.01,11.05,11.08,1.68,0.53,384.16,2.26,8967493244.0,8967493244.0,0.0,0.09,-6.24,-5.61
1762,300434,金石亚药,7.73,1.71,0.13,29080.0,22341021.8,2.37,7.74,7.56,7.6,7.6,0.92,0.85,12.35,1.24,3105480131.0,2644595995.0,0.0,0.13,-7.65,-6.3
1763,300756,金马游乐,17.9,1.7,0.3,24016.0,42813681.8,3.47,18.02,17.41,17.41,17.6,1.07,1.83,-1061.55,2.04,2821007350.0,2349023319.0,-0.11,0.17,10.9,20.21
1764,603538,美诺华,13.75,1.7,0.23,22322.0,30461987.0,2.88,13.78,13.39,13.43,13.52,0.89,1.05,44.99,1.41,3005874781.0,2933078156.0,-0.07,-0.15,9.74,8.18
1765,300496,中科创达,53.95,1.7,0.9,62774.0,335446146.56,3.94,54.14,52.05,52.05,53.05,1.32,1.71,67.02,2.51,24817648425.0,19846956867.0,0.06,0.19,-16.9,-9.42
1766,600996,贵广网络,8.37,1.7,0.14,63029.0,52724755.0,3.65,8.45,8.15,8.22,8.23,1.15,0.51,-9.75,3.61,10435714778.0,10435714778.0,-0.12,-0.12,3.59,-2.11
1767,603912,佳力图,8.38,1.7,0.14,85309.0,71236370.0,3.03,8.41,8.16,8.24,8.24,1.05,1.57,126.62,2.47,4540349280.0,4540349280.0,0.0,-0.12,-2.56,1.21
1768,603127,昭衍新药,15.52,1.7,0.26,134578.0,208568369.0,3.47,15.69,15.16,15.24,15.26,1.22,2.13,70.72,1.43,11631888224.0,9785082627.0,-0.06,0.06,-1.08,-6.67
1769,301312,智立方,41.95,1.7,0.7,6582.0,27462864.0,2.96,42.13,40.91,41.05,41.25,0.7,2.55,36.72,3.0,3657850806.0,1083038504.0,0.12,0.19,-7.31,-13.68
1770,002971,和远气体,18.5,1.7,0.31,12079.0,22271128.5,2.64,18.59,18.11,18.11,18.19,0.86,0.75,38.77,2.48,3907847500.0,2962749063.0,-0.11,-0.05,-1.86,-0.8
1771,301060,兰卫医学,8.96,1.7,0.15,22347.0,19926794.0,2.95,8.99,8.73,8.78,8.81,0.8,0.63,-111.02,2.17,3588632320.0,3184194738.0,-0.22,-0.11,0.45,-1.65
1772,300701,森霸传感,9.58,1.7,0.16,22690.0,21541470.05,3.72,9.6,9.25,9.32,9.42,1.04,0.93,92.73,2.86,2708602440.0,2345953274.0,0.1,0.21,-5.89,-6.54
1773,002609,捷顺科技,10.15,1.7,0.17,131758.0,135394344.56,5.71,10.45,9.88,9.95,9.98,1.53,2.87,1036.07,2.75,6550371124.0,4662911939.0,-0.1,-0.2,28.81,22.88
1774,603163,圣晖集成,28.06,1.7,0.47,7987.0,22429916.0,3.55,28.64,27.66,28.01,27.59,0.53,2.28,24.23,2.47,2806000000.0,982177165.0,0.29,0.14,3.85,5.61
1775,000973,佛塑科技,6.62,1.69,0.11,101124.0,66596884.34,2.61,6.63,6.46,6.52,6.51,0.76,1.05,80.41,2.23,6404341392.0,6404341392.0,0.3,0.3,15.53,11.45
1776,605388,均瑶健康,6.01,1.69,0.1,34533.0,20538944.0,2.88,6.01,5.84,5.91,5.91,0.62,0.58,54.77,1.9,3608908840.0,3608908840.0,0.0,0.0,3.09,-4.45
1777,002644,佛慈制药,7.83,1.69,0.13,17003.0,13241363.2,2.99,7.85,7.62,7.62,7.7,1.37,0.33,51.58,2.21,3998444310.0,3998444310.0,0.26,0.0,1.42,1.42
1778,301045,天禄科技,20.43,1.69,0.34,10583.0,21269056.0,3.48,20.48,19.78,19.9,20.09,1.57,1.57,103.05,2.25,2253804054.0,1373693873.0,-0.1,0.2,-12.43,-7.64
1779,300768,迪普科技,16.22,1.69,0.27,23377.0,37636996.0,3.13,16.25,15.75,15.87,15.95,1.05,0.56,85.33,3.12,10442907013.0,6823230240.0,0.06,0.12,-9.33,-7.31
1780,688717,艾罗能源,46.42,1.69,0.77,30956.0,148744222.0,8.06,50.0,46.32,48.0,45.65,2.87,4.58,40.41,1.67,7427200000.0,3138717684.0,0.0,-0.34,-4.88,-0.62
1781,002391,长青股份,5.42,1.69,0.09,66640.0,35915313.59,3.38,5.48,5.3,5.32,5.33,0.47,1.44,52.74,0.83,3520791621.0,2515534796.0,0.0,0.0,8.18,8.18
1782,002495,佳隆股份,2.41,1.69,0.04,197337.0,47187881.35,3.38,2.42,2.34,2.37,2.37,0.72,2.9,240.92,2.01,2254857696.0,1641752081.0,0.42,0.0,-0.82,-5.12
1783,300247,融捷健康,3.63,1.68,0.06,104052.0,37452810.61,3.08,3.64,3.53,3.56,3.57,0.88,1.3,23.55,2.66,2918666336.0,2915889386.0,0.0,0.0,-1.09,1.4
1784,688800,瑞可达,49.01,1.68,0.81,50511.0,249332119.0,5.6,51.0,48.3,50.18,48.2,2.24,3.19,25.67,3.57,7764157976.0,7764157976.0,-0.24,-0.12,-34.9,-2.2
1785,603999,读者传媒,6.06,1.68,0.1,100556.0,60634564.0,5.37,6.15,5.83,5.96,5.96,1.2,1.75,93.11,1.75,3490560000.0,3490560000.0,-0.33,-0.16,-0.49,-1.46
1786,838275,驱动力,9.7,1.68,0.16,18374.0,17800179.15,5.56,9.87,9.34,9.34,9.54,0.42,2.45,379.94,6.46,1545962720.0,727266657.0,-0.41,-0.41,40.58,49.46
1787,688048,长光华芯,56.25,1.68,0.93,20563.0,115422764.0,4.66,57.1,54.52,55.0,55.32,1.3,1.94,-108.27,3.31,9915746794.0,5974309294.0,0.02,0.11,17.65,44.27
1788,688071,华依科技,33.93,1.68,0.56,6884.0,23297053.0,3.87,34.37,33.08,33.79,33.37,0.9,0.81,-61.91,2.93,2876915335.0,2876915335.0,0.18,0.68,6.5,25.9
1789,301123,奕东电子,18.18,1.68,0.3,11779.0,21267428.0,3.13,18.24,17.68,17.75,17.88,1.02,1.28,-205.15,1.49,4246848000.0,1675265239.0,0.0,0.17,-24.63,-11.1
1790,301238,瑞泰新材,16.32,1.68,0.27,26203.0,42684640.32,2.37,16.38,16.0,16.0,16.05,0.88,1.23,141.46,1.68,11967999456.0,3481599456.0,0.0,0.18,8.58,4.21
1791,600919,江苏银行,10.3,1.68,0.17,1189169.0,1221182101.0,1.88,10.34,10.15,10.15,10.13,2.35,0.65,4.83,0.79,189018641969.0,189018641969.0,0.0,-0.1,5.42,8.31
1792,300013,*ST新宁,4.23,1.68,0.07,79908.0,33410916.0,3.61,4.25,4.1,4.13,4.16,0.79,1.79,101.91,11.43,2361858122.0,1886837459.0,0.24,0.0,26.65,21.9
1793,301062,上海艾录,7.86,1.68,0.13,31850.0,24931710.0,2.59,7.9,7.7,7.73,7.73,0.74,1.02,1091.4,2.23,3397694799.0,2449245050.0,0.0,0.0,-28.28,-40.0
1794,002885,京泉华,12.78,1.67,0.21,35285.0,44852066.1,2.55,12.8,12.48,12.5,12.57,1.14,1.52,47.76,2.44,3474967818.0,2971263991.0,0.0,0.0,-1.69,-10.32
1795,001380,华纬科技,32.2,1.67,0.53,34772.0,110257883.53,4.86,32.34,30.8,31.43,31.67,1.18,5.85,23.07,3.36,5892909120.0,1914810030.0,-0.22,0.0,28.39,47.03
1796,002542,中化岩土,3.04,1.67,0.05,141305.0,42813887.24,3.01,3.06,2.97,3.0,2.99,0.49,0.8,-26.61,7.15,5490594884.0,5346284703.0,0.33,0.0,-7.88,-22.45
1797,301270,汉仪股份,35.41,1.67,0.58,10507.0,37000334.0,2.38,35.41,34.58,34.81,34.83,0.83,1.42,190.28,3.56,3541000000.0,2622522141.0,0.03,0.06,4.7,-0.92
1798,600986,浙文互联,7.32,1.67,0.12,309347.0,224682942.0,4.17,7.33,7.03,7.03,7.2,1.07,2.08,69.01,2.14,10887578134.0,10887578134.0,0.27,0.14,18.83,22.41
1799,300631,久吾高科,20.14,1.67,0.33,8103.0,16285355.64,2.68,20.24,19.71,19.75,19.81,1.05,0.68,35.64,1.98,2518374559.0,2412312929.0,0.0,0.05,-2.71,-4.55
1800,600386,北巴传媒,4.27,1.67,0.07,72679.0,31060271.0,3.33,4.31,4.17,4.2,4.2,1.26,0.9,166.25,1.95,3443328000.0,3443328000.0,0.0,0.0,-0.7,-4.47
1801,688571,杭华股份,7.32,1.67,0.12,16780.0,12200716.0,2.78,7.35,7.15,7.15,7.2,1.24,0.4,27.14,1.95,3075340620.0,3075340620.0,0.0,0.0,1.81,9.09
1802,000158,常山北明,20.73,1.67,0.34,486493.0,1005575640.7,5.98,21.06,19.84,20.2,20.39,1.6,3.06,-55.84,6.17,33139324626.0,32915163591.0,0.05,0.19,10.5,2.93
1803,603936,博敏电子,7.37,1.66,0.12,55628.0,40918963.0,2.62,7.42,7.23,7.23,7.25,1.24,0.88,42.5,1.08,4646033289.0,4646033289.0,-0.14,-0.14,-5.15,-12.47
1804,831768,拾比佰,11.03,1.66,0.18,69878.0,75288929.36,6.27,11.09,10.41,10.51,10.85,1.07,9.13,28.04,1.84,1223999100.0,844586833.0,0.73,0.46,51.1,49.05
1805,601921,浙版传媒,7.95,1.66,0.13,128517.0,101776504.0,2.17,7.97,7.8,7.8,7.82,1.86,0.58,27.37,1.27,17666666673.0,17666666673.0,-0.13,-0.13,6.0,0.89
1806,002330,得利斯,4.28,1.66,0.07,65708.0,27956841.0,3.09,4.3,4.17,4.21,4.21,0.8,1.03,-80.75,1.17,2719149441.0,2718564900.0,0.0,-0.23,2.88,-2.06
1807,300892,品渥食品,32.4,1.66,0.53,41680.0,135601069.0,2.92,33.1,32.17,32.9,31.87,0.65,6.46,137.19,3.07,3240000000.0,2091825000.0,0.15,0.03,10.81,1.25
1808,003007,直真科技,28.14,1.66,0.46,13215.0,36915201.0,3.25,28.2,27.3,27.62,27.68,1.1,1.79,-24.89,3.39,2926560000.0,2079385912.0,0.14,0.29,-6.17,-7.77
1809,300407,凯发电气,9.79,1.66,0.16,17434.0,16978694.0,3.32,9.82,9.5,9.5,9.63,0.85,0.71,332.16,1.71,3115182826.0,2391306124.0,-0.1,0.0,-5.68,-3.74
1810,002072,凯瑞德,4.29,1.66,0.07,39125.0,16751695.0,4.27,4.33,4.15,4.21,4.22,1.24,1.24,-154.44,32.27,1577347200.0,1348608047.0,0.0,0.0,-3.6,1.9
1811,002351,漫步者,12.88,1.66,0.21,60377.0,77214926.0,2.92,12.9,12.53,12.65,12.67,1.09,1.16,28.02,3.96,11451698160.0,6711048974.0,0.0,0.16,-22.03,-21.94
1812,600796,钱江生化,5.52,1.66,0.09,31228.0,17173151.0,2.95,5.55,5.39,5.44,5.43,1.06,1.01,39.2,1.45,4783553428.0,1708317947.0,0.0,0.18,-0.9,-3.83
1813,603002,宏昌电子,5.54,1.65,0.09,121360.0,66727354.0,3.12,5.55,5.38,5.4,5.45,0.43,1.07,243.31,1.82,6282794940.0,6282794940.0,0.36,0.54,-2.29,3.17
1814,301456,盘古智能,22.13,1.65,0.36,6220.0,13646813.0,3.17,22.15,21.46,21.57,21.77,0.95,1.06,62.87,1.53,3288168457.0,1299948687.0,0.0,0.18,-3.45,-2.04
1815,605008,长鸿高科,15.99,1.65,0.26,20001.0,31752933.0,3.24,16.14,15.63,15.97,15.73,0.91,0.31,109.62,5.18,10328939000.0,10271662820.0,0.13,0.13,46.29,33.92
1816,301158,德石股份,15.99,1.65,0.26,22313.0,35438362.0,3.31,16.03,15.51,15.63,15.73,0.8,1.52,32.86,1.79,2404424455.0,2342861692.0,-0.06,0.25,10.28,13.97
1817,603608,*ST天创,4.94,1.65,0.08,15255.0,7423619.0,3.5,4.97,4.8,4.8,4.86,0.51,0.36,-22.83,2.01,2073394303.0,2073394303.0,-0.6,1.23,34.6,32.8
1818,300501,海顺新材,14.17,1.65,0.23,27349.0,38687019.56,2.58,14.24,13.88,13.99,13.94,1.34,2.18,39.71,1.71,2742430711.0,1774100664.0,-0.07,0.07,5.35,6.14
1819,300306,远方信息,11.72,1.65,0.19,26384.0,30788350.0,2.86,11.78,11.45,11.5,11.53,1.06,1.67,69.86,2.04,3152196878.0,1846661085.0,0.0,0.0,0.0,1.03
1820,688499,利元亨,24.09,1.65,0.39,16939.0,40699373.0,3.63,24.26,23.4,23.4,23.7,1.07,1.0,-4.04,1.76,4064669806.0,4064669806.0,-0.04,0.04,17.17,7.69
1821,301459,丰茂股份,48.22,1.64,0.78,5519.0,26398652.56,2.89,48.38,47.01,47.25,47.44,0.66,2.76,33.57,3.14,3857600000.0,964400000.0,0.25,0.67,9.97,19.03
1822,002050,三花智控,25.98,1.64,0.42,547105.0,1420594560.23,3.48,26.29,25.4,25.56,25.56,1.45,1.49,31.29,5.02,96967480119.0,95358291857.0,0.0,0.19,-17.6,10.51
1823,688466,金科环境,15.48,1.64,0.25,5510.0,8593120.0,4.79,15.96,15.23,15.49,15.23,1.56,0.45,41.22,1.69,1905882507.0,1905882507.0,-0.26,-0.19,14.41,17.81
1824,600792,云煤能源,3.09,1.64,0.05,57560.0,17713755.0,2.3,3.1,3.03,3.03,3.04,1.29,0.54,-9.36,1.17,3429663924.0,3274992469.0,0.32,0.0,-2.83,-17.38
1825,301102,兆讯传媒,9.89,1.64,0.16,18990.0,18737187.48,3.29,9.96,9.64,9.78,9.73,0.96,1.87,48.1,1.31,4015340000.0,1003835000.0,0.0,0.0,-15.03,-9.52
1826,301502,华阳智能,35.39,1.64,0.57,6027.0,21312349.0,2.58,35.56,34.66,34.85,34.82,1.49,2.48,64.2,2.42,2020185065.0,860198188.0,0.08,0.06,-5.25,-17.89
1827,688658,悦康药业,15.5,1.64,0.25,86453.0,128864830.0,8.2,15.55,14.3,14.88,15.25,1.22,1.92,-35.39,1.98,6975000000.0,6975000000.0,-0.19,0.06,6.09,7.56
1828,300889,爱克股份,15.45,1.64,0.25,16290.0,24966140.0,3.22,15.6,15.11,15.22,15.2,0.91,1.67,-38.62,1.63,2410200000.0,1502705625.0,-0.06,0.0,11.39,12.04
1829,600255,鑫科材料,3.1,1.64,0.05,299307.0,92197225.0,2.62,3.1,3.02,3.05,3.05,1.21,1.66,89.79,3.91,5599055561.0,5599055561.0,0.32,0.65,-24.39,-9.36
1830,300388,节能国祯,6.83,1.64,0.11,18608.0,12648287.0,2.23,6.84,6.69,6.72,6.72,0.94,0.27,17.14,1.02,4651518438.0,4645176899.0,0.0,0.0,-5.4,-9.54
1831,000301,东方盛虹,8.75,1.63,0.14,68745.0,59794650.64,2.44,8.77,8.56,8.6,8.61,1.21,0.1,42.39,1.72,57848199133.0,57824796628.0,-0.11,-0.11,4.67,6.58
1832,002536,飞龙股份,14.92,1.63,0.24,74930.0,111226138.0,3.34,15.02,14.53,14.6,14.68,0.66,1.37,17.48,2.48,8575805449.0,8139513511.0,0.07,0.2,1.98,28.84
1833,002942,新农股份,16.19,1.63,0.26,6100.0,9828411.5,2.32,16.21,15.84,15.91,15.93,0.7,0.44,15.12,2.08,2523339887.0,2221410359.0,0.06,0.0,5.61,14.66
1834,688579,山大地纬,9.36,1.63,0.15,21156.0,19661548.0,3.15,9.39,9.1,9.23,9.21,1.04,0.53,176.95,2.72,3744093600.0,3744093600.0,-0.11,-0.11,1.3,1.85
1835,301127,武汉天源,15.6,1.63,0.25,62464.0,97520456.79,4.69,15.87,15.15,15.4,15.35,1.74,1.44,50.23,3.23,10094080838.0,6774479603.0,-0.13,-0.13,7.88,3.72
1836,300657,弘信电子,26.18,1.63,0.42,182470.0,477543962.56,4.04,26.44,25.4,25.63,25.76,1.31,4.0,470.0,9.86,12785266266.0,11953898558.0,-0.08,0.0,14.98,15.53
1837,002247,聚力文化,2.49,1.63,0.04,107234.0,26660613.0,3.67,2.51,2.42,2.44,2.45,1.33,1.67,116.99,3.37,2118666422.0,1602416273.0,-0.4,0.0,-3.11,-2.35
1838,300926,博俊科技,25.49,1.63,0.41,27436.0,69329897.86,3.39,25.66,24.81,24.96,25.08,1.25,0.97,17.9,4.29,10691335470.0,7216202330.0,0.35,0.47,1.31,15.81
1839,605358,立昂微,24.36,1.63,0.39,95414.0,231123096.0,6.26,24.75,23.25,23.48,23.97,0.55,1.42,-50.45,2.33,16354474006.0,16354474006.0,-0.08,0.12,2.4,-1.66
1840,600698,湖南天雁,5.61,1.63,0.09,78902.0,43743220.0,3.26,5.62,5.44,5.5,5.52,1.04,0.95,1702.19,7.8,6009544380.0,4658236970.0,-0.18,0.0,8.72,24.12
1841,688567,孚能科技,12.54,1.62,0.2,39924.0,49942200.0,2.84,12.61,12.26,12.28,12.34,1.03,0.33,-47.68,1.55,15325182718.0,15325182718.0,0.08,0.0,11.57,8.1
1842,831906,舜宇精工,22.01,1.62,0.35,5653.0,12374744.54,4.8,22.3,21.26,21.45,21.66,0.46,1.7,81.68,2.59,1429989700.0,730362738.0,0.27,0.27,24.42,29.7
1843,301305,朗坤科技,16.95,1.62,0.27,11247.0,18998952.26,2.58,17.07,16.64,16.77,16.68,0.86,0.89,13.43,1.13,4128523365.0,2137767053.0,-0.06,-0.12,-3.58,-3.8
1844,000798,中水渔业,6.91,1.62,0.11,29329.0,20184783.0,2.21,6.92,6.77,6.8,6.8,1.13,0.8,-39.36,7.39,2528083700.0,2527876400.0,0.0,0.0,-0.14,-6.75
1845,001228,永泰运,20.65,1.62,0.33,13573.0,27942434.48,3.69,20.83,20.08,20.39,20.32,0.52,1.31,24.43,1.27,2144804176.0,2144804176.0,0.1,0.19,-0.91,-0.15
1846,002476,宝莫股份,4.38,1.62,0.07,85809.0,37423084.0,3.48,4.41,4.26,4.3,4.31,1.18,1.4,49.86,2.85,2680560000.0,2680253181.0,0.0,0.23,1.86,3.79
1847,600251,冠农股份,7.53,1.62,0.12,81198.0,60933893.0,2.7,7.57,7.37,7.37,7.41,1.62,1.05,7.9,1.55,5850761680.0,5850761680.0,0.13,0.13,9.29,3.29
1848,603324,盛剑科技,23.22,1.62,0.37,8121.0,18748742.0,2.8,23.29,22.65,22.65,22.85,1.05,0.54,28.87,2.06,3461499673.0,3461499673.0,0.0,0.13,-8.94,-10.31
1849,603165,荣晟环保,11.91,1.62,0.19,10613.0,12564269.0,2.39,11.93,11.65,11.72,11.72,1.0,0.39,11.34,1.45,3246819972.0,3246819972.0,0.08,0.08,-4.57,-2.7
1850,300987,川网传媒,15.09,1.62,0.24,26358.0,39632909.0,3.03,15.17,14.72,14.76,14.85,1.26,1.52,249.64,3.24,2616123120.0,2616123120.0,0.0,0.07,-7.08,6.57
1851,300395,菲利华,48.79,1.62,0.78,23381.0,113093344.0,2.81,49.03,47.68,47.98,48.01,0.87,0.46,60.62,6.01,25481439766.0,25031367189.0,-0.12,0.0,27.99,29.73
1852,300190,维尔利,3.13,1.62,0.05,74696.0,23322200.56,3.25,3.16,3.06,3.06,3.08,1.17,0.96,-11.18,0.9,2446400901.0,2429423459.0,0.32,0.32,3.64,-10.83
1853,002957,科瑞技术,15.03,1.62,0.24,19453.0,29048147.0,2.37,15.04,14.69,14.71,14.79,0.74,0.47,35.66,2.07,6312336464.0,6162681251.0,0.0,-0.07,-6.36,-4.21
1854,301585,蓝宇股份,43.34,1.62,0.69,8879.0,38440888.06,4.29,43.98,42.15,42.65,42.65,1.32,4.68,64.81,3.6,3467200000.0,821975822.0,-0.07,-0.05,4.96,-7.08
1855,002334,英威腾,7.54,1.62,0.12,78382.0,58895951.6,3.1,7.59,7.36,7.42,7.42,0.78,1.09,44.12,2.08,6130299131.0,5430641374.0,0.0,0.27,-3.08,0.27
1856,301360,荣旗科技,43.92,1.62,0.7,4364.0,19050755.0,3.61,44.09,42.53,42.84,43.22,1.21,1.57,-79.21,2.02,2342692800.0,1220976000.0,0.11,0.05,-10.88,-18.15
1857,603311,金海高科,10.01,1.62,0.16,14642.0,14600605.0,2.23,10.04,9.82,9.86,9.85,1.24,0.62,13.51,1.74,2361197909.0,2361197909.0,0.0,0.1,-1.96,0.2
1858,603305,旭升集团,12.63,1.61,0.2,73947.0,92900129.0,3.06,12.7,12.32,12.42,12.43,0.84,0.78,31.47,1.78,12040335385.0,12040335385.0,0.0,0.08,-24.01,-3.95
1859,600708,光明地产,3.16,1.61,0.05,105638.0,33290656.0,2.57,3.18,3.1,3.11,3.11,0.63,0.47,-8.8,0.73,7042492108.0,7031877756.0,0.32,0.0,-10.99,-15.05
1860,301329,信音电子,18.95,1.61,0.3,8715.0,16494278.0,3.22,19.1,18.5,18.5,18.65,0.85,1.45,46.23,2.06,3225290000.0,1135938800.0,-0.05,-0.16,-12.63,-9.98
1861,002700,新疆浩源,8.84,1.61,0.14,15570.0,13629360.88,3.68,8.87,8.55,8.72,8.7,0.83,0.47,56.38,2.71,3656473155.0,2959063358.0,-0.11,-0.11,-12.82,-14.09
