序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4184,301291,明阳电气,41.36,-0.34,-0.14,9392.0,39264287.39,2.53,42.4,41.35,41.52,41.5,0.7,0.54,28.76,2.7,12912592000.0,7228536625.0,-0.29,-0.36,-19.64,-5.83
4185,600004,白云机场,8.8,-0.34,-0.03,45421.0,39975939.0,0.57,8.83,8.78,8.81,8.83,0.92,0.19,23.39,1.15,20827120890.0,20827120890.0,0.11,0.0,-6.08,-8.33
4186,600295,鄂尔多斯,8.69,-0.34,-0.03,41107.0,35818970.0,1.83,8.8,8.64,8.69,8.72,1.09,0.21,13.17,1.16,24321365647.0,17167757647.0,0.0,-0.23,-8.53,-10.96
4187,300666,江丰电子,73.17,-0.34,-0.25,29617.0,216815050.92,1.65,73.88,72.67,73.39,73.42,0.68,1.34,30.87,4.14,19414824118.0,16135529838.0,0.07,0.21,3.07,5.36
4188,688160,步科股份,98.94,-0.34,-0.34,7713.0,76911499.0,3.71,101.18,97.5,98.8,99.28,0.94,0.92,186.8,10.55,8310960000.0,8310960000.0,-0.23,0.24,24.08,72.49
4189,000878,云南铜业,11.68,-0.34,-0.04,85650.0,100214275.0,1.11,11.76,11.63,11.69,11.72,0.6,0.43,10.45,1.56,23402378661.0,23401919123.0,0.0,0.09,-7.96,-4.18
4190,000417,合百集团,5.81,-0.34,-0.02,121468.0,70676430.61,2.4,5.87,5.73,5.75,5.83,0.48,1.56,23.78,0.96,4531127202.0,4526149490.0,-0.51,-0.68,2.29,-8.93
4191,300125,*ST聆达,5.9,-0.34,-0.02,55440.0,32765056.0,3.21,6.0,5.81,5.85,5.92,0.59,2.09,-14.66,-2.8,1578839971.0,1566108142.0,-0.17,-0.17,15.69,-10.33
4192,300862,蓝盾光电,22.5,-0.35,-0.08,16411.0,36708413.0,2.88,22.65,22.0,22.53,22.58,1.49,1.08,-445.86,2.07,4153902795.0,3408097658.0,-0.09,-0.09,-10.57,-17.19
4193,002899,英派斯,19.93,-0.35,-0.07,23553.0,47260251.0,2.6,20.27,19.75,20.0,20.0,1.37,1.59,51.9,1.72,2945593732.0,2945593732.0,-0.05,-0.15,-13.2,-11.11
4194,002970,锐明技术,48.83,-0.35,-0.17,12021.0,58699056.0,2.04,49.2,48.2,48.98,49.0,0.51,1.0,21.49,4.77,8659526410.0,5856822257.0,0.1,0.12,9.44,2.52
4195,600874,创业环保,5.7,-0.35,-0.02,39386.0,22557287.0,1.05,5.76,5.7,5.73,5.72,0.95,0.32,8.78,0.9,8951383085.0,7013383085.0,-0.18,-0.18,0.88,-4.52
4196,600332,白云山,25.78,-0.35,-0.09,17398.0,44886347.0,0.46,25.87,25.75,25.87,25.87,0.92,0.12,14.78,1.17,41912890665.0,36243868665.0,-0.04,-0.04,-3.81,-9.29
4197,301093,华兰股份,28.72,-0.35,-0.1,6815.0,19709302.0,2.67,29.35,28.58,28.58,28.82,0.53,0.77,49.34,1.6,3627592814.0,2535720277.0,0.0,-0.03,17.13,20.67
4198,831832,科达自控,25.52,-0.35,-0.09,9338.0,23668976.71,4.22,25.78,24.7,25.01,25.61,0.82,1.5,41.0,2.76,1972185600.0,1586915749.0,0.35,-0.08,5.54,19.92
4199,601399,国机重装,2.85,-0.35,-0.01,257176.0,73409968.0,1.4,2.87,2.83,2.84,2.86,0.89,0.36,46.29,1.42,20558634287.0,20558634287.0,0.0,-0.35,-4.68,-7.47
4200,002392,北京利尔,5.77,-0.35,-0.02,271397.0,155628397.0,5.01,5.82,5.53,5.68,5.79,1.65,2.37,21.56,1.28,6869132141.0,6600195580.0,0.0,0.0,23.82,22.25
4201,601390,中国中铁,5.56,-0.36,-0.02,230429.0,128306433.0,0.9,5.6,5.55,5.58,5.58,1.17,0.11,4.93,0.45,137564770056.0,113840210152.0,0.0,0.0,-5.76,-12.99
4202,000756,新华制药,13.83,-0.36,-0.05,27988.0,38582554.0,1.73,13.9,13.66,13.71,13.88,0.77,0.57,21.28,1.85,9539609479.0,6812988869.0,0.0,0.07,-7.68,-11.97
4203,002461,珠江啤酒,10.97,-0.36,-0.04,133585.0,147600194.0,3.54,11.28,10.89,11.01,11.01,1.91,0.6,38.66,2.28,24280213426.0,24280213426.0,-0.54,-0.45,20.29,10.92
4204,300122,智飞生物,19.14,-0.36,-0.07,73511.0,141098593.7,1.3,19.3,19.05,19.19,19.21,0.53,0.52,-37.54,1.5,45817135758.0,27069821587.0,0.0,0.0,-21.27,-27.22
4205,603357,设计总院,8.41,-0.36,-0.03,92938.0,78247844.0,1.42,8.48,8.36,8.4,8.44,1.54,1.69,13.8,1.22,4716191800.0,4630455811.0,0.24,0.12,-3.33,-7.17
4206,002534,西子洁能,10.96,-0.36,-0.04,26664.0,29317049.0,1.36,11.07,10.92,10.98,11.0,0.75,0.36,37.75,1.97,8101703722.0,8009770639.0,0.09,0.09,-12.46,-1.35
4207,000032,深桑达Ａ,21.86,-0.36,-0.08,80491.0,175552402.7,2.28,22.1,21.6,21.79,21.94,0.79,1.25,-182.61,3.85,24875788855.0,14094536908.0,0.05,0.18,30.66,23.92
4208,000408,藏格矿业,36.25,-0.36,-0.13,23092.0,83636775.92,1.32,36.48,36.0,36.38,36.38,0.71,0.15,19.04,3.93,56920683256.0,56920085131.0,0.06,0.06,20.23,30.72
4209,603995,甬金股份,16.5,-0.36,-0.06,57360.0,95062353.0,2.29,16.78,16.4,16.5,16.56,2.52,1.57,14.56,1.06,6032683734.0,6032683734.0,-0.24,-0.48,-16.37,-9.79
4210,300465,高伟达,13.96,-0.36,-0.05,77876.0,108684508.0,2.86,14.09,13.69,13.91,14.01,0.36,1.75,-146.95,9.68,6194741024.0,6194741024.0,0.14,0.07,-29.53,-23.97
